rank,personName,age,finalWorth,category,countryOfCitizenship,organization,selfMade,gender,birthDate,title
1,Elon Musk,50,219000,Automotive,United States,Tesla,True,M,1971-06-28,CEO
2,Jeff Bezos,58,171000,Technology,United States,Amazon,True,M,1964-01-12,Entrepreneur
3,Bernard Arnault & family,73,158000,Fashion & Retail,France,LVMH Moët Hennessy Louis Vuitton,False,M,1949-03-05,Chairman and CEO
4,Bill Gates,66,129000,Technology,United States,Bill & Melinda Gates Foundation,True,M,1955-10-28,Cofounder
5,Warren Buffett,91,118000,Finance & Investments,United States,Berkshire Hathaway,True,M,1930-08-30,CEO
6,Larry Page,49,111000,Technology,United States,Alphabet,True,M,1973-03-26,Entrepreneur
7,Sergey Brin,48,107000,Technology,United States,Alphabet,True,M,1973-08-21,Cofounder and board member
8,Larry Ellison,77,106000,Technology,United States,Oracle,True,M,1944-08-17,CTO and Founder
9,Steve Ballmer,66,91400,Technology,United States,Los Angeles Clippers,True,M,1956-03-24,Owner
10,Mukesh Ambani,64,90700,Diversified,India,Reliance Industries,False,M,1957-04-19,Founder and Chairman
11,Gautam Adani & family,59,90000,Diversified,India,,True,M,1962-06-24,
12,Michael Bloomberg,80,82000,Media & Entertainment,United States,Bloomberg L.P.,True,M,1942-02-14,CEO
13,Carlos Slim Helu & family,82,81200,Telecom,Mexico,América Móvil,True,M,1940-01-28,Honorary Chairman
14,Francoise Bettencourt Meyers & family,68,74800,Fashion & Retail,France,,False,F,1953-07-10,
15,Mark Zuckerberg,37,67300,Technology,United States,Meta Platforms,True,M,1984-05-14,Cofounder
16,Jim Walton,73,66200,Fashion & Retail,United States,Arvest Bank Group; Inc.,False,M,1948-06-07,Chairman and CEO
17,Zhong Shanshan,67,65700,Food & Beverage,China,,True,M,1954-12-01,
18,Alice Walton,72,65300,Fashion & Retail,United States,Crystal Bridges Museum of American Art,False,F,1949-10-07,Philanthropist
19,Rob Walton,77,65000,Fashion & Retail,United States,Walmart,False,M,1944-10-27,Director
19,Changpeng Zhao,44,65000,Finance & Investments,Canada,,True,M,1977-09-10,
21,Charles Koch,86,60000,Diversified,United States,Koch Industries,False,M,1935-11-01,CEO
21,Julia Koch & family,59,60000,Diversified,United States,,False,F,1962-04-12,
23,Amancio Ortega,86,59600,Fashion & Retail,Spain,,True,M,1936-03-28,
24,Michael Dell,57,55100,Technology,United States,Dell Inc.,True,M,1965-02-23,Chairman and CEO
25,Zhang Yiming,38,50000,Media & Entertainment,China,ByteDance,True,M,1984-01-01,Founder
26,David Thomson & family,64,49200,Media & Entertainment,Canada,Thomson Reuters Corporation,False,M,1957-06-12,Chairman
27,Phil Knight & family,84,47300,Fashion & Retail,United States,Nike,True,M,1938-02-24,Chairman
28,Dieter Schwarz,82,47100,Fashion & Retail,Germany,,False,M,1939-09-24,
29,Robin Zeng,53,44800,Automotive,Hong Kong,,True,M,1969-01-01,
30,MacKenzie Scott,51,43600,Technology,United States,,False,F,1970-04-07,Philanthropist
31,Rodolphe Saadé & family,52,41400,Logistics,France,CMA CGM,False,M,1970-03-03,Chairman and CEO
32,François Pinault & family,85,40400,Fashion & Retail,France,,True,M,1936-08-21,
33,Klaus-Michael Kuehne,84,37300,Logistics,Germany,,False,M,1937-06-02,
34,Ma Huateng,50,37200,Technology,China,Tencent Holdings,True,M,1971-10-29,Chairman and CEO
35,Beate Heister & Karl Albrecht Jr. & family,,36800,Fashion & Retail,Germany,,False,,,
36,Giovanni Ferrero,57,36200,Food & Beverage,Italy,,False,M,1964-09-21,
37,Li Ka-shing,93,34800,Diversified,Hong Kong,CK Hutchison Holdings,True,M,1928-06-13,Senior Advisor
37,Stephen Schwarzman,75,34800,Finance & Investments,United States,Blackstone Group,True,M,1947-02-14,Chairman and CEO
39,Lee Shau Kee,94,32600,Real Estate,Hong Kong,,True,M,1928-01-29,
40,Len Blavatnik,64,32500,Diversified,United States,,True,M,1957-06-01,
41,Jacqueline Mars,82,31700,Food & Beverage,United States,,False,F,1939-10-10,
41,John Mars,86,31700,Food & Beverage,United States,,False,M,1935-10-15,
43,Alain Wertheimer,73,31200,Fashion & Retail,France,,False,M,1948-08-28,
43,Gerard Wertheimer,71,31200,Fashion & Retail,France,,False,M,1951-01-09,
45,German Larrea Mota Velasco & family,68,30800,Metals & Mining,Mexico,,False,M,1953-10-26,
46,Gina Rinehart,68,30200,Metals & Mining,Australia,Hancock Prospecting,False,F,1954-02-09,Executive Chairman
47,Shiv Nadar,76,28700,Technology,India,,True,M,1945-07-18,
48,Jim Simons,83,28600,Finance & Investments,United States,Renaissance Technologies Corp.,True,M,1938-04-25,Founder
49,He Xiangjian,79,28300,Manufacturing,China,,True,M,1942-08-11,
